Recife		BR	-8° 07' 58"	-34° 55' 58"	-3.0	--	53.14		3390760
Rio de Janeiro		BR	-22° 26' 59"	-42° 43' 01"	-3.0	--	139.82		3451190
São Paulo		BR	-23° 32' 51"	-46° 37' 59"	-3.0	--	765.40		3448439
Bandar Seri Begawan		BN	 4° 57' 00"	 114° 56' 12"	8.0	--	33.05		1820906
Sofia		BG	 42° 43' 00"	 23° 19' 59"	2.0	EU	535.00		727011
Bobo-Dioulasso		BF	 11° 11' 00"	 4° 17' 00"	0.0	--	146.60
Ouagadougou		BF	 12° 21' 00"	-1° 31' 00"	0.0	--	312.44		2357048
Bujumburo		BI	-3° 19' 00"	 29° 19' 00"	2.0	--	780.65
Bururi		BI	-4° 35' 00"	 30° 01' 00"	2.0	--	1641.99		423328
Gitega		BI	-3° 43' 00"	 30° 33' 00"	2.0	--	1214.98		426272
Muyinga		BI	-3° 26' 00"	 30° 32' 00"	2.0	--	1354.67		431748
Ngozi		BI	-3° 31' 00"	 30° 22' 00"	2.0	--	1265.57		430569
Ruyigi		BI	-3° 47' 00"	 30° 24' 00"	2.0	--	1141.58		426700
Cotonou		BJ	 6° 21' 00"	 2° 23' 00"	1.0	--	5.85		2394819
Porto Novo		BJ	 6° 30' 00"	 2° 47' 00"	1.0	--	17.79		2392087
Douala		CM	 4° 01' 01"	 9° 43' 01"	1.0	--	9.57		2232593
Tiko		CM	 1° 00' 05"	 9° 12' 00"	1.0	--	114.05
Wonder Valley	California	US	 34° 09' 04"	-115° 55' 53"	-8.0	US	457.00
Yaounde		CM	 3° 50' 00"	 11° 31' 00"	1.0	--	698.35		2220957
100 Mile House	British Columbia	CA	 51° 39' 00"	-121° 17' 00"	-8.0	US	915.78		5881639
Abbotsford	British Columbia	CA	 49° 01' 48"	-122° 19' 11"	-8.0	US	70.70		5881791
Airdrie	Alberta	CA	 51° 18' 00"	-114° 02' 00"	-7.0	US	1086.66		5882799
